song,lyrics
blood," Is it wickedness? Is it weakness? You decide Are we gonna live or die?   So I was takin a walk the other day, and I seen a woman—a blind woman—pacin up and down the sidewalk. She seemed to be a bit frustrated, as if she had dropped somethin and havin a hard time findin it. So after watchin her struggle for a while, I decide to go over and lend a helping hand, you know? ""Hello, maam, can I be of any assistance? It seems to me that you have lost something. I would like to help you find it."" She replied: ""Oh yes, you have lost something. Youve lost... your life.""  {Gunshot}   Is it wickedness?   Lamar stated his views on police brutality with that line in the song, quote: ""And we hate the popo, wanna kill us in the street fo sho…"" Oh please, ugh, I dont like it."
dna," I got, I got, I got, I got Loyalty, got royalty inside my DNA Cocaine quarter piece, got war and peace inside my DNA I got power, poison, pain and joy inside my DNA I got hustle though, ambition, flow, inside my DNA I was born like this, since one like this Immaculate conception I transform like this, perform like this Was Yeshuas new weapon I dont contemplate, I meditate, then off your fucking head This that put-the-kids-to-bed This that I got, I got, I got, I got Realness, I just kill shit cause its in my DNA I got millions, I got riches buildin in my DNA I got dark, I got evil, that rot inside my DNA I got off, I got troublesome, heart inside my DNA I just win again, then win again like Wimbledon, I serve Yeah, thats him again, the sound that engine in is like a bird You see fireworks and Corvette tire skrrt the boulevard I know how you work, I know just who you are See, yous a, yous a, yous a— Bitch, your hormones prolly switch inside your DNA Problem is, all that sucker shit inside your DNA Daddy prolly snitched, heritage inside your DNA Backbone dont exist, born outside a jellyfish, I gauge See, my pedigree most definitely dont tolerate the front Shit Ive been through prolly offend you This is Paulas oldest son I know murder, conviction Burners, boosters, burglars, ballers, dead, redemption Scholars, fathers dead with kids And I wish I was fed forgiveness Yeah, yeah, yeah, yeah, soldiers DNA Born inside the beast My expertise checked out in second grade When I was 9, on cell, motel, we didnt have nowhere to stay At 29, Ive done so well, hit cartwheel in my estate And Im gon shine like Im supposed to Antisocial, extrovert And excellent mean the extra work And absentness what the fuck you heard And pessimists never struck my nerve And thats a riff, gonna plead this case The reason my powers here on earth Salute the truth, when the prophet say   I got loyalty, got royalty inside my DNA This is why I say that hip hop has done more damage to young African Americans than racism in recent years I got loyalty, got royalty inside my DNA I live a better life, Im rollin several dice, fuck your life I got loyalty, got royalty inside my DNA I live a better, fuck your life 5, 4, 3, 2, 1 This is my heritage, all Im inheritin Money and power, the mecca of marriages   Tell me somethin You mothafuckas cant tell me nothin Id rather die than to listen to you My DNA not for imitation Your DNA an abomination This how it is when youre in the Matrix Dodgin bullets, reapin what you sow And stackin up the footage, livin on the go And sleepin in a villa Sippin from a Grammy and walkin in the buildin Diamond in the ceilin, marble on the floors Beach inside the window, peekin out the window Baby in the pool, godfather goals Only Lord knows, Ive been goin hammer Dodgin paparazzi, freakin through the cameras Eat at Four Daughters, Brock wearin sandals Yoga on a Monday, stretchin to Nirvana Watchin all the snakes, curvin all the fakes Phone never on, I dont conversate I dont compromise, I just penetrate Sex, money, murder—these are the breaks These are the times, level number 9 Look up in the sky, 10 is on the way Sentence on the way, killings on the way Motherfucker, I got winners on the way You aint shit without a body on your belt You aint shit without a ticket on your plate You aint sick enough to pull it on yourself You aint rich enough to hit the lot and skate Tell me when destruction gonna be my fate Gonna be your fate, gonna be our faith Peace to the world, let it rotate Sex, money, murder—our DNA"
yah," New shit, new Kung Fu Kenny   I got so many theories and suspicions Im diagnosed with real nigga conditions Today is the day I follow my intuition Keep the family close—get money, fuck bitches I double parked the Aston in the red My mama told me that Ima work myself to death My girl told me dont let these hoes get in my head My world been ecstatic, I checked the signal that read—   Buzzin, radars is buzzin Yah, yah, yah, yah Yah, yah, yah, yah, yah, yah Buzzin, radars is buzzin Yah, yah, yah, yah Yah, yah, yah, yah, yah, yah   Interviews wanna know my thoughts and opinions Fox News wanna use my name for percentage My latest muse is my niece, she worth livin See me on the TV and scream: ""Thats Uncle Kendrick!"" Yeah, thats the business Somebody tell Geraldo this nigga got some ambition Im not a politician, Im not bout a religion Im a Israelite, dont call me Black no mo That word is only a color, it aint facts no mo My cousin called, my cousin Carl Duckworth Said know my worth And Deuteronomy say that we all been cursed I know he walks the Earth But its money to get, bitches to hit, yah Zeroes to flip, temptation is, yah First on my list, I cant resist, yah Everyone together now, know that we forever—   Buzzin, radars is buzzin Yah, yah, yah, yah Yah, yah, yah, yah, yah, yah Buzzin, radars is buzzin Yah, yah, yah, yah Yah, yah, yah, yah, yah, yah"
element," New Kung Fu Kenny Aint nobody prayin for me Yall know, what happens on Earth stays on Earth Here we go! I dont give a fuck, I dont give a fuck I dont give a, I dont give a, I dont give a fuck   Im willin to die for this shit I done cried for this shit, might take a life for this shit Put the Bible down and go eye for an eye for this shit D.O.T. my enemy, wont catch a vibe for this shit, ayy I been stomped out in front of my mama My daddy commissary made it to commas Bitch, all my grandmas dead So aint nobody prayin for me, Im on your head, ayy Thirty millions later, know the feds watchin Auntie on my telegram, like, ""Be cautious!"" I be hangin out at Tams, I be on Stockton I dont do it for the Gram, I do it for Compton Im willin to die for this shit, nigga Ill take your fuckin life for this shit, nigga We aint goin back to broke, family sellin dope Thats why you maney-ass rap niggas better know   If I gotta slap a pussy-ass nigga, Ima make it look sexy If I gotta go hard on a bitch, Ima make it look sexy I pull up, hop out, air out, made it look sexy They wont take me out my element Nah, take me out my element   Im allergic to a bitch nigga, ayy An imaginary rich nigga, ayy Seven figures, hoe, that slimmer than my bitch figure, ayy Goin digital and physical on all yall, ayy Bunch of criminals and money in my phone calls, ayy We okay, we let the A1 fly Relocate, jump on the same G5 Checkin for me heavy cause I go yeah, I go yeah They never been ready—yeah, I know yeah, know yeah 100K spread across the floor, cross the floor, yeah None of yall fuckin with the flow yeah, the flow yeah Years in the makin, and dont yall mistake it I got em by a landslide, we talkin about races You know thisll never be a tie, just look at their laces You know careers take off, just gotta be patient Mr. One through Five, thats the only logic Fake my death, go to Cuba, thats the only option   If I gotta slap a pussy-ass nigga, Ima make it look sexy If I gotta go hard on a bitch, Ima make it look sexy I pull up, hop out, air out, made it look sexy They wont take me out my element Nah, take me out my element   Damned if I do, if I dont (yuhhh) Goddamn us all if you wont (yuhhh) Damn, damn, damn, its a goddamn shame You aint frontline, get out the goddamn way   Niggas thought they wasnt gonna see me, huh? Niggas thought that K-Dot real life Was the same life they see on TV, huh? Niggas wanna flex on me and be in L.A. for free, huh? Next time they hit the 10 freeway, we need receipt, huh? Cause most of yall aint real Most of yall gon squeal Most of yall just envy, but jealousy get you killed Most of yall throw rocks and try to hide your hand Just say his name and I promise that youll see Candyman Because its all in your eyes, most of yall tell lies Most of yall dont fade, most of yall been advised Last LP I tried to lift the black artists But its a difference between black artists and wack artists   If I gotta slap a pussy-ass nigga, Ima make it look sexy Its the one and only, the worlds greatest, the Kid Capri If I gotta go hard on a bitch, Ima make it look sexy I pull up, hop out, air out, made it look sexy They wont take me out my element Nah, take me out my element"
feel," Aint nobody prayin for me Aint nobody prayin for me Aint nobody prayin for me Aint nobody prayin for me   I feel like a chip on my shoulders I feel like Im losin my focus I feel like Im losin my patience I feel like my thoughts in the basement Feel like, I feel like youre miseducated Feel like I dont wanna be bothered I feel like you may be the problem I feel like it aint no tomorrow, fuck the world The world is endin, Im done pretendin And fuck you if you get offended I feel like friends been overrated I feel like the family been fakin I feel like the feelings are changin Feel like my daughter compromised and jaded Feel like you wanna scrutinize how I made it Feel like I aint feelin you all Feel like removin myself, no feelings involved I feel for you, Ive been in the field for you Its real for you, right? Shit, I feel like—   Aint nobody prayin for me Aint nobody prayin for me Aint nobody prayin for me Aint nobody prayin   I feel niggas been out of pocket I feel niggas tappin they pockets I feel like debating on who the greatest can stop it I am legend, I feel like all of yall is peasants I feel like all of yall is desperate I feel like all it take is a second to feel like Mike Jordan whenever holdin a real mic I aint feelin your presence Feel like Ima learn you a lesson Feel like only me and the music, though I feel like your feelin aint mutual I feel like the enemy you should know Feel like the feelin of no hope The feelin of bad dope A quarter ounce manipulated from soap The feelin, the feelin of false freedom Ill force-feed em the poison that fill em up in the prison I feel like its just me Look, I feel like I cant breathe Look, I feel like I cant sleep Look, I feel heartless, often off this Feelin of fallin, of fallin apart with Darkest hours, lost it Fillin the void of bein employed with ballin Streets is talkin, fill in the blanks with coffins Fill up the banks with dollars Fill up the graves with fathers Fill up the babies with bullshit Internet blogs and pulpit, fill em with gossip I feel like this gotta be the feelin what Pac was The feelin of an apocalypse happenin But nothin is awkward, the feelin wont prosper The feelin is toxic, I feel like Im boxin demons Monsters, false prophets schemin Sponsors, industry promises Niggas, bitches, honkies, crackers, Compton Church, religion, token blacks, and bondage Lawsuit visits, subpoena served in concert Fuck your feelings, I mean this for imposters I can feel it, the phoenix sure to watch us I can feel it, the dream is more than process I can put a regime that forms a Loch Ness I can feel it, the scream that haunts our logic I feel like say somethin, I feel like take somethin I feel like skatin off, I feel like waitin for em Maybe its too late for em I feel like the whole world want me to pray for em But who the fuck prayin for me?   Aint nobody prayin for me Who prayin for me? Aint nobody prayin"
loyalty,"   I said Im geeked and Im fired up (fired, fire) All I want tonight is just to get high up (high, high, high) Girl, you look so good, its to die for (die for) Ooh, that pussy good, its to die for (on fire)   Its a secret society All we ask is trust (All we ask is trust) All we got is us Loyalty, loyalty, loyalty Loyalty, loyalty, loyalty   Kung Fu Kenny now My resume is real enough for two millenniums A better way to make a wave, stop defendin them I meditate and moderate all of my wins again Im hangin on the fence again Im always on your mind I put my lyric and my lifeline on the line And aint no limit when I might shine, might grind You rollin with it at the right time, right now (Only for the dollar sign)   Bad gyal RiRi now Swerve, swerve, swerve, swerve, deeper now On your pulse like its EDM Gas in the bitch like its premium Haul ass on a bitch all in the fast lane Been a bad bitch way before any cash came Im established Hundred carats on my name Run the atlas, Im a natural, Im alright   Im a savage, Im a asshole, Im a king Shimmy-yeah, shimmy-yeah, shimmy-yeah, rock (yeah) You can tell your nigga he can meet me outside (yeah) You can babysit him when I leave him outside Aint no other love like the one I know I done been down so long lost hope I done came down so hard I slowed I dont sleep forever, all a real nigga want   I said Im geeked and Im fired up (fired, fire) All I want tonight is just to get high up (yeah) (All I want is, all I want is)   Loyalty, loyalty, loyalty Loyalty, loyalty, loyalty 10-4, no switchin sides Feel somethin wrong You actin shifty, you dont ride With me no more, I need Loyalty, loyalty, loyalty Loyalty, loyalty, loyalty   Tell me who you loyal to Is it money? Is it fame? Is it weed? Is it drink? Is it comin down with the loud pipes and the rain? Big chillin, only for the power in your name Tell me who you loyal to Is it love for the streets when the lights get dark? Is it unconditional when the Rari dont start? Tell me when your loyalty is comin from the heart   Tell me who you loyal to Do it start with your woman or your man? (Mmm) Do it end with your family and friends? (Mmm) Or youre loyal to yourself in advance? I said, tell me who you loyal to Is it anybody that you would lie for? Anybody you would slide for? Anybody you would die for? Thats what God for   I said Im geeked and Im fired up (fired, fire) All I want tonight is just to get high up (All I want is, all I want is)   Loyalty, loyalty, loyalty Loyalty, loyalty, loyalty 10-4, no switchin sides Feel somethin wrong You actin shifty, you dont ride With me no more, I need Loyalty, loyalty, loyalty Loyalty, loyalty, loyalty   Its so hard to be humble Its so hard to be Lord knows Im tryin Lord knows Im dyin, baby"
pride," Loves gonna get you killed But prides gonna be the death of you and you and me And you and you and you and me And you and you and you and me And you and you and you and me and—   It wasnt all to share, but there In another life, I surely was there It wasnt all to share, but there I care, I care   Hell-raising, wheel-chasing, new worldy possessions Flesh-making, spirit-breaking, which one would you lessen? The better part, the human heart You love em or dissect em Happiness or flashiness? How do you serve the question? See, in the perfect world, I would be perfect, world I dont trust people enough beyond they surface, world I dont love people enough to put my faith in men I put my faith in these lyrics, hoping I make amend I understand I aint perfect I probably wont come around This time, I might put you down Last time, I aint give a fuck, I still feel the same now My feelings might go numb, youre dealing with cold thumb Im willing to give up a leg and arm and show empathy from Pity parties and functions and you and yours A perfect world, you probably live another 24 I cant fake humble just cause your ass is insecure I cant fake humble just cause your ass is insecure   It wasnt all to share, but there In another life, I surely was there It wasnt all to share, but there I care, I care   Maybe I wasnt there Maybe I wasnt there Maybe I wasnt there Maybe I wasnt there   Now, in a perfect world, I probably wont be insensitive Cold as December, but never remember what Winter did I wouldnt blame you for mistakes I made or the bed I laid Seems like I point the finger just to make a point nowadays Smiles and cold stares, the temperature goes there Indigenous disposition, feel like we belong here I know the walls, they can listen, I wish they could talk back The hurt becomes repetition, the love almost lost that Sick venom in men and women overcome with pride A perfect world is never perfect, only filled with lies Promises are broken and more resentment come alive Race barriers make inferior of you and I See, in a perfect world, Ill choose faith over riches Ill choose work over bitches, Ill make schools out of prison Ill take all the religions and put em all in one service Just to tell em we aint shit, but Hes been perfect, world   It wasnt all to share, but there In another life, I surely was there It wasnt all to share, but there I care, I care   Maybe I wasnt there Maybe I wasnt there Maybe I wasnt there Maybe I wasnt there"
humble," Wicked or weakness You gotta see this Waaaaay (yeah, yeah!)   Nobody pray for me Its been that day for me Waaaaay (yeah, yeah!)   Ayy, I remember syrup sandwiches and crime allowances Finesse a nigga with some counterfeits But now Im countin this Parmesan where my accountant lives In fact, Im downin this DUSSÉ with my boo bae tastes like Kool-Aid for the analysts Girl, I can buy yo ass the world with my paystub Ooh, that pussy good, wont you sit it on my taste bloods? I get way too petty once you let me do the extras Pull up on your block, then break it down: we playin Tetris A.M. to the P.M., P.M. to the A.M., funk Piss out your per diem, you just gotta hate em, funk If I quit your BM, I still ride Mercedes, funk If I quit this season, I still be the greatest, funk My left stroke just went viral Right stroke put lil baby in a spiral Soprano C, we like to keep it on a high note Its levels to it, you and I know, bitch, be humble   (Hol up, bitch) sit down (Hol up lil bitch, hol up lil bitch) be humble (Hol up, bitch) sit down (Sit down, hol up, lil bitch) Be humble (bitch) (Hol up, hol up, hol up, hol up) bitch, sit down Lil bitch (hol up, lil bitch) be humble (Hol up, bitch) sit down (Hol up, hol up, hol up, hol up) be humble (Hol up, hol up, hol up, hol up, lil bitch) sit down (Hol up lil bitch) be humble (Hol up, bitch) sit down (Hol up, sit down, lil bitch) (Sit down, lil bitch, be humble) (Hol up, hol up, hol up, hol up, lil bitch) bitch, sit down (Hol up, bitch) be humble (Hol up, bitch) sit down (Hol up, hol up, hol up, hol up)   Who dat nigga thinkin that he frontin on Man-Man? (Man-Man) Get the fuck off my stage, Im the Sandman (Sandman) Get the fuck off my dick, that aint right I make a play fuckin up your whole life Im so fuckin sick and tired of the Photoshop Show me somethin natural like afro on Richard Pryor Show me somethin natural like ass with some stretch marks Still will take you down right on your mamas couch in Polo socks, ayy This shit way too crazy, ayy, you do not amaze me, ayy I blew cool from AC, ayy, Obama just paged me, ayy I dont fabricate it, ayy, most of yall be fakin, ayy I stay modest bout it, ayy, she elaborate it, ayy This that Grey Poupon, that Evian, that TED Talk, ayy Watch my soul speak, you let the meds talk, ayy If I kill a nigga, it wont be the alcohol, ayy Im the realest nigga after all, bitch, be humble   (Hol up, bitch) sit down (Hol up lil bitch, hol up lil bitch) be humble (Hol up, bitch) sit down (Sit down, hol up, lil bitch) Be humble (bitch) (Hol up, hol up, hol up, hol up) bitch, sit down Lil bitch (hol up, lil bitch) be humble (Hol up, bitch) sit down (Hol up, hol up, hol up, hol up) be humble (Hol up, hol up, hol up, hol up, lil bitch) sit down (Hol up lil bitch) be humble (Hol up, bitch) sit down (Hol up, sit down, lil bitch) (Sit down, lil bitch) be humble (Hol up, hol up, hol up, hol up, lil bitch) bitch, sit down (Hol up, bitch) be humble (Hol up, bitch) sit down (Hol up, hol up, hol up, hol up)"
lust," I need some water Somethin came over me Way too hot to simmer down Might as well overheat Too close to comfort As blood rush my favorite vein Heartbeat racin like a junkies I just need you to want me Am I askin too much? Let me put the head in Ooh, I dont want more than that Girl, I respect the cat I promise just a touch Let me put the head in If its okay She said, ""Its okay.""   Yeah, I need everybodys motherfuckin hands up right now I need everybodys motherfuckin— Door and his Nike Air Rattles Rush the fire exit, no time for battles Well I, I never expected This that new shit This that new, new shit   Wake up in the mornin Thinkin bout money, kick your feet up Watch you a comedy, take a shit, then roll some weed up Go hit you a lick, go fuck on a bitch Dont go to work today, cop you a fit Or maybe some kicks and make you— Door in his Nike Air Rattles Rush the fire exit, no time for battles Well I, I never expected Wake up in the mornin Thinkin bout money, kick your feet up Watch you a comedy— hol up! Wake up in the mornin Thinkin bout money, kick your feet up Watch you a comedy, take a shit, then roll some weed up Go hit you a lick, go fuck on a bitch, dont go to work today Cop you a fit or maybe some kicks and make it work today Hang with your homies, stunt on your baby mama Sip some lean, go get a pistol, shoot out the window Bet your favorite team, play you some Madden Go to the club or your mama house Whatever you doin, just make it count (I need some water) Wake up in the mornin Thinkin bout money, kick your feet up Hop in the shower, put on your makeup, lace your weave up Touch on yourself, call up your nigga, tell him he aint shit Credit card scam, get you a Visa, make him pay your rent Hop on the Gram, flex on the bitches that be hatin on you Pop you a pill, call up your bitches, have em waitin on you Go to the club, have you some fun, make that ass bounce Its whatever, just make it count   I need some water Somethin came over me Way too hot to simmer down Might as well overheat Too close to comfort As blood rush my favorite vein Heartbeat racin like a junkies I just need you to want me Am I askin too much? Let me put the head in Ooh, I dont want more than that Girl, I respect the cat I promise just a touch Let me put the head in If its okay She said, ""Its okay.""   I wake in the mornin, my head spinnin from the last night Both in the trance, feelings I did—what a fast life! Manager called, the lobby called, its 11:30 Did this before, promised myself Id be a hour early Room full of clothes, bag full of money: call it loose change Fumbled my jewelry, 100k, I lost a new chain Hop on the bird, hit the next city for another M Take me a nap and do it again We all woke up, tryna tune to the daily news Lookin for confirmation, hopin election wasnt true All of us worried, all of us buried, and our feelings deep None of us married to his proposal, make us feel cheap Still and sad, distraught and mad, tell the neighbor bout it Bet they agree, parade the streets with your voice proudly Time passin, things change Revertin back to our daily programs, stuck in our ways; Lust   Lately, I feel like I been lustin over the fame Lately, we lust on the same routine of shame Lately, lately, lately, my lust been hidin (Lately) Lately, it’s all contradiction Lately, I’m not here Lately, I lust over self Lust turn into fear Lately, in James 4:4 says Friend of the world is enemy of the Lord Brace yourself, lust is all yours   I need some water Somethin came over me Way too high to simmer down Might as well overheat Too close to comfort As blood rush my favorite vein Heartbeat racin like a junkies I just need you to want me Am I askin too much? Let me put the head in Ooh, I dont want more than that Girl, I respect the cat I promise just a touch Let me put the head in If its okay She said, ""Its okay."""
love," Damn, love or lust Damn, all of us   Give me a run for my money There is nobody, no one to outrun me (Another world premiere!) So give me a run for my money Sippin bubbly, feelin lovely, livin lovely Just love me I wanna be with you, ayy, I wanna be with I wanna be with you, ayy, I wanna be with I wanna be with you   If I didnt ride blade on curb, would you still love me? If I minimize my net worth, would you still love me? Keep it a hundred, Id rather you trust me than to love me Keep it a whole one hund: dont got you, I got nothin   Ayy, I got somethin Hol up, we gon function, no assumptions Feelin like Tyson with it Knock it out twice, Im with it Only for the night, Im kiddin Only for life, youre a homie for life Youre a homie for life, lets get it Hit that shoulder lean I know what comin over mean Backstroke oversea I know what you need Already on ten, our money come in All feeling go out, this feeling dont drought This party wont end   If I didnt ride blade on curb, would you still love me? If I minimize my net worth, would you still love me? Keep it a hundred, Id rather you trust me than to love me Keep it a whole one hund: dont got you, I got nothin   Give me a run for my money There is nobody, no one to outrun me So give me a run for my money Sippin bubbly, feelin lovely, livin lovely Just love me I wanna be with you, ayy, I wanna be with I wanna be with you, ayy, I wanna be with I wanna be with you   Im on the way We aint got no time to waste Poppin your gum on the way Am I in the way? I dont wan pressure you none I want your blessing today Oh, by the way, open the door by the way Told you that Im on the way Im on the way, I know connection is vague Pick up the phone for me, babe Damn it, we jammin Bad attitude from yo nanny Curves and your hips from yo mammy Remember Gardena, I took the studio camry I know Top will be mad at me I had to do it, I want your body, your music I bought the big one to prove it Look what you made Told you that Im on the way Im like an exit away, yep   If I didnt ride blade on curb, would you still love me? If I minimize my net worth, would you still love me? Keep it a hundred, Id rather you trust me than to love me Keep it a whole one hund: dont got you, I got nothin   Give me a run for my money There is nobody, no one to outrun me So give me a run for my money Sippin bubbly, feelin lovely, livin lovely Just love me I wanna be with you, ayy, I wanna be with I wanna be with you, ayy, I wanna be with I wanna be with you"
