album,song,lyrics
Section.80,fuck-your-ethnicity,"   Gather around. Im glad everybody came out tonight. As we stand on our neighborhood corner, know that this fire thats burning represents the passion you have. Listen, Keisha, Tammy, come up front. I recognize all of you. Every creed and color. With that being said... fuck your ethnicity. You understand that? We gon talk about a lot of shit that concerns you. All of you   Now everybody, throw your hands up high If you dont give a fuck, throw your hands up high   Now I dont give a fuck if you Black, White, Asian, Hispanic, goddammit That dont mean shit to me Fuck your ethnicity, nigga   Fire burning inside my eyes, this the music that saved my life Yall be calling it hip-hop, I be calling it hypnotize Yeah, hypnotize, trapped my body but freed my mind What the fuck is you fighting for? Aint nobody gon win that war My details be retail, man, I got so much in store Racism is still alive, yellow tape and colored lines Fuck that, nigga look at that line, its so diverse They getting off work and they wanna see Kendrick Everybody cant drive Benzs, and I been there, so I make it my business To give em my full attention, ten-hut! Man, I gotta get my wind up Man, I gotta get down with God cause I got my sins up Matter of fact, dont mistake me for no fucking rapper They sit backstage and hide behind the fucking cameras I mosh pit, had a microphone and I tossed it Had a brain, then I lost it, Im out of my mind So dont you mind how much the cost is, penny for my thoughts Everybody, please hold up your wallets Yeah man, Im the mailman, cant you tell, man? Going postal, never freeze up, when I approach you Thats starstruck and roast you, oh my HiiiPower  (Reporting live from Planet Terminator X, I am Martin Luther King with an AK-47)   Now I dont give a fuck if you Black, White, Asian, Hispanic, goddammit That dont mean shit to me Fuck your ethnicity, nigga   Im tired of yall, cause everybody lied to yall And you believe it? Recognize them false achievements Its treason and Im Tylenol, I knock out when you knock it off Knock on the doors of opportunity, Im too involved Im no activist, Im no Einstein before calculus I was kicking that math, dropping that science Like an alchemist, and I be kicking that ass, lyrically Im UFC If a UFO had came for me, Imma come back with the head of an alien Dont alienate, my dreams, get it right Get a life, I got two, thats a metaphor for the big shit I do Boy, TMI, TSA, man Im fly, put wings on my back That a plane or angel? Both like a pilot with a halo, whoa... gross   I mean, Ive seen so many things come through them, him, her, you Im just a messenger, yeah, I know lifes a bitch, get the best of her Put them 3s up, they notice that we up, HiiiPower And the power in the people and if they dont believe us, theyll die  Wizard   Now I dont give a fuck if you Black, White, Asian, Hispanic, goddammit That dont mean shit to me Fuck your ethnicity, nigga"
Section.80,hol-up,"   I wrote this record while thirty thousand feet in the air Stewardess complimenting me on my nappy hair If I can fuck her in front of all of these passengers Theyll probably think Im a terrorist Eat my asparagus Then Im asking her thoughts of a young nigga Fast money and freedom A crash dummy for dollars I know you dying to meet em Ill prolly die in a minute Just bury me with 20 bitches, 20 million And a Comp-town fitted   Hold up (Hold up) Hold up (Hold up) Hold up (Hold up) Hold up (Hold up)   Yeah, big shit popping, Section.80   Back in this bitch In the back of that bitch With my back against the wall And your bitch on the edge of my dick Jump-off I call a bitch a bitch A ho a ho A woman a woman I never did nothing But break the ground on top of the asphalt Tire mark gave you evidence That Im easily peddling With the speed of a lightning bolt As a kid I killed two adults Im too advanced I lived my 20s at two years old, the wiser man Truth be told, Im like 87 Wicked as 80 Reverends In a pool of fire with Devils holding hands From a distance Dont know which one is a Christian Damn Who can I trust in 2012 Theres no one, not even myself A Gemini screaming for help Somebody   Hold up (Hold up) Hold up (Hold up) Hold up (Hold up) Hold up (Hold up)   Yeah, big shit poppin, everybody watchin When you do it like this, nigga, losing aint a option   Hold up (Hold up) Hold up (Hold up) Hold up (Hold up) Hold up (Hold up)   Yeah, big shit poppin Hey, hey, kick her out the studio, Ali   24/7, nigga working his ass for it She popping that ass for it The King of Diamonds with diamonds I never do ask for it They checking my passport Im too accustomed with Customs She callin the task force I killed it, somebody cuff him They want me to fast-forward The game, and why you complain When you niggas is past poor Youll never hop in my lane When you pushing a RAV4 You wrecking my Jaguar You play like a bad sport Her feet on the dashboard   Hold up (Hold up) Hold up (Hold up) Hold up (Hold up) Hold up (Hold up)   Yeah, big shit poppin, everybody watchin When you do it like this, nigga, losing aint an option   Hold up (Hold up) Hold up (Hold up) Hold up (Hold up) Hold up (Hold up)   Yeah, big shit poppin, everybody watchin When you do it like this, nigga   I wrote this record while thirty thousand feet in the air Stewardess complimenting me on my nappy hair If I can fuck her in front of all of these passengers Theyll probably think Im Osama The plane emergency landed; it was a honor Hold up"
Section.80,adhd,"   Uh-uh, fuck that (Fuck that)   Eight doobies to the face, fuck that Twelve bottles in the case, nigga, fuck that Two pills and a half-weight, nigga, fuck that Got a high tolerance when your age dont exist   Man, I swear my nigga trippin off that shit again Pick him up, then I set him in cold water Then I order someone to bring him Vicodin I hope that take the pain away From the feelin that he felt today You know, when you part of Section.80 And you feel like no one can relate ‘Cause you are, you are, a loner, loner Marijuana endorphins make you stronger, stronger Im in the house party, trippin off My generation sippin cough syrup like its water Never no pancakes in the kitchen Man, not one of our lives is caught up In the daily superstition that the world is bout to end Who gives a fuck? We never do listen Less it comes with a 808 (A melody and some hoes) Playstation and some drank (Technology bought my soul) Lookin around and all I see Is a big crowd thats product of me And they probably relatives relevant for a rebels dream Yep, her president is black, she black too Purple label on her back, but that tab is light blue She take it straight to the head Then she look at me, she got A.D.H.D   Eight doobies to the face, fuck that Twelve bottles in the case, nigga, fuck that Two pills and a half-weight, nigga, fuck that Got a high tolerance when your age dont exist   Like whoa-whoa, whoa, whoa-whoa (Dont got a limit, just give me some more with it) Whoa, whoa-whoa (Dont got a limit, just give me some more with it) Whoa, whoa-whoa, whoa, whoa-whoa (They always told me A.D.H.D. did it)   And then she started… And then she started feelin herself Like no one else in this apartment ""Beg your pardon?"" ""Oh, I rap, baby."" ""How old are you?"", She say 22, I say 23 ""Okay, then we are crack babies."" ""Damn, why you say that?"" She said, ""Where my drink at?"" ""Ima tell you later Just tell your neighbors that the police relaxed."" I stood up, shut the blind, closed the screen; Jumbotron Made to the back where she reside Then she said, ""Read between the lines."" Yep, hope that I get close enough when the lights turn down And the fact that she just might open up When the Nuvo start to drown Her body and I know The both of us really deep in the mood now Its nothin we can do now Somebody walked in with a pound of that Bay Area kush She looked at me, then looked at it Then she grabbed it, then she said, ""Get it understood."" ""You know why we crack babies? Because we born in the 80s, that A.D.H.D. crazy.""   Eight doobies to the face, fuck that Twelve bottles in the case, nigga, fuck that Two pills and a half-weight, nigga, fuck that Got a high tolerance when your age dont exist   Like whoa-whoa, whoa, whoa-whoa (Dont got a limit, just give me some more with it) Whoa, whoa-whoa (Dont got a limit, just give me some more with it) Whoa, whoa-whoa, whoa, whoa-whoa (They always told me A.D.H.D. did it)   You can have all my shine, Ill give you the light Double cup, deuce, four, six, just mix it in Sprite Ecstasy, shrooms, blow, dro, hoes, whatever you like You can have all my shine, Ill give you the light"
Section.80,no-makeup-her-vice,"   I love the way you put it on your eyes The roses on your face light up the sky Those lips are colorful all of the time And girl, thats fine, but I wanna know do you mind No make-up today, no make-up today No make-up today, no make-up to... Thats fine, but I wanna know do you mind   I know she bout to ask me how she look I tell her beautiful, and how long it took For you to put it on, it was early in the morn She resembled a model out of a Mac book Concentrating on the way the eyeliner thickens I stand behind her and try to figure her vision Of prettiness, the wittiness, of colors on her skin tone Her complexion in a direction Ive outgrown Damn girl, why so much? You bout to blow your cover when you cover up Dont you know your imperfections is a wonderful blessing From heaven, is where you got it from I love your smile, you can do it without style From your lips, all the way to your eyebrows Its the beauty in her but when the make-up occur I dont see it, all I see is a blur   I love the way you put it on your eyes The roses on your face light up the sky Those lips are colorful all of the time And girl, thats fine, but I wanna know do you mind No make-up today, no make-up today No make-up today, no make-up to... Thats fine, but I wanna know do you mind   I know she bout to ask me how she look I tell her beautiful, and how long it took For you to put it on, it was early in the morn She resembled a model out of a Mac book Concentrating on the way my eyeliner thickens He stand behind me and try to figure her vision Of prettiness, the wittiness of colors on my skin tone My complexion in a direction Ive outgrown I feel like its not enough I can never put on too much make-up Yeah, I know your imperfections I be constantly stressing From him is where I get it from, they tell me I need to Smile at least once in a while I hate my lips, my nose, my eyebrows Its the beauty in me, but what he dont see Is that I had a black ey- To be continued... 11   Ladies and gentlemen And you aint gotta get drunk to have fun You aint gotta get drunk to have fun You aint gotta get drunk to have fun   I love the way you put it on your eyes The roses on your face light up the sky Those lips are colorful all of the time And girl, thats fine, but I wanna know do you mind No make-up today, no make-up today No make-up today, no make-up to... Thats fine, but I wanna know do you mind   Ladies and gentlemen And you aint gotta get drunk to have fun You aint gotta get drunk to have fun You aint gotta get drunk to have fun   I love the way you put it on your eyes The roses on your face light up the sky Those lips are colorful all of the time And girl, thats fine, but I wanna know do you mind No make-up today, no make-up today No make-up today, no make-up to... Thats fine, but I wanna know do you mind"
Section.80,tammys-song-her-evils,"    Dont judge me   I know this girl, she a real good girl and she be low-key Looking like a star, with a real nice car, a Mercedes key She got a nigga and she love this nigga, well, at least I think Everytime we bark, she pay us no mind in the middle of the street She be like:   Fuck them other niggas cause Im down for my nigga Fuck them other niggas cause Im down for my nigga Fuck them other niggas, Ill ride for my nigga Ill die for my nigga, fuck them other...   Until one day he wasnt acting right In the middle of the night, she checked his phone, Erica, right When he plead the fifth, man, it was on, matter of fact she gone Matter of fact Tyrone was on speed dial So when she got home, it was going down, she go:   Fuck that other nigga when she tired of her nigga Fuck that other nigga when she tired of her nigga Fuck that other nigga when she tired of her nigga Sick of lies from her nigga, fuck that other...   I know this girl, she a real hood girl, and she with the shit Keep her hair tied up, big bamboos, Mike Jordan kicks With that big butt, but when I try to holla, she gon resist In her man she trust, so when I walk by her, she be screaming this She be like:   Fuck them other niggas cause Im down for my nigga Fuck them other niggas cause Im down for my nigga Fuck them other niggas, Ill ride for my nigga Ill die for my nigga, fuck them other...   Until one day he wasnt acting right in the middle of the night She checked his pockets, found condoms by Magnum And the moment they was acknowledged, she popped his eye Then ran outside, then started driving on the passenger side Homeboy was smiling, she gon:   Fuck that other nigga when she tired of her nigga Fuck that other nigga when she tired of her nigga Fuck that other nigga when she tired of her nigga Sick of lies from her nigga, fuck that other...   And so, these girls, these vulnerable girls, took they men up Put em in their world, their vulnerable world, and just like that It was only getting they feelings hurt, tell me how that sound? They got fed up with the biggest question mark, they curious now Cause when women get sick of men, they think of a big helping hand To lend each other under cover emotions when lights dim So when she telling her to come over, itll be alright The minute she hit the block and turn left, shell be turning dyke, they:   Fuck with other bitches when they tired of these niggas Fuck with other bitches when they tired of these niggas Fuck with other bitches on the side cause these niggas...   Tammys song"
Section.80,chapter-six,"   Ridin with them boys and girls and were high All we want to do is have a good time Young, wild, and reckless is how we live life Pray that we make it to twenty-one (One, one, one) Oh, we make it to twenty-one (One, one, one) Oh, ho ho ho, ho ho ho Ridin with them boys and girls and were high All we want to do is have a good time Young, wild, and reckless is how we live life Pray that we make it to twenty-one (One, one, one) Oh, we make it to twenty-one (One, one, one) Oh, ho ho ho, ho ho ho   Im glad we were able to talk about her vice and her evils. There is an even more important topic Id like to discuss: the dysfunctional bastards of the Ronald Reagan Era. Young men that learned to do everything spiteful. This is your generation. Live fast and die young. Whos willing to explain this story?   Ridin with them boys and girls and were high All we want to do is have a good time Young, wild, and reckless is how we live life Pray that we make it to twenty-one (One, one, one) Oh, we make it to twenty-one (One, one, one) Oh, ho ho ho, ho ho ho Ridin with them boys and girls and were high All we want to do is have a good time Young, wild, and reckless is how we live life Pray that we make it to twenty-one..."
Section.80,ronald-reagan-era-his-evils,"   Were far from good, not good from far 90 miles per hour down Compton Boulevard With the top down, screaming, ""We dont give a fuck!"" Drink my 40 ounce of freedom while I roll my blunt Cause the kids just aint alright   Oh, shit nigga, somethin bout to happen, nigga, this shit.. Nigga this sound like 30 kis under the Compton court buildig Hope the dogs dont smell it   Welcome to vigilante, 80s so dont you ask me Im hungry, my bodys antsy, I rip through your fuckin pantry Peelin off like a Xanny, examine my orchestra Granny said when Im old enough, Ill be sure to be all I can be You niggas Marcus Camby, washed up Pussy, fix your panties, Im Mr. Marcus, you getting fucked, uh You aint heard nothin harder since Daddy Kane Take it in vain, Vicodins couldnt ease the pain Lightnin bolts hit your body, you thought it rained Not a cloud in sight, just the shit that I write Strong enough to stand in front of a travellin freight train, are you trained? To go against Dracula draggin the record industry by my fangs AK clips, money clips and gold chains You walk around with a P90 like its the 90s Bullet to your temple, your homicidell remind me that   Compton Crip niggas aint nothin to fuck with Bompton Pirus aint nothin to fuck with Compton éses aint nothin to fuck with But they fuck with me, and bitch I love it Woop de woop, woop de woop-woop, woop de woop Woop de woop, woop de woop-woop (California Dungeons) Woop de woop, woop de woop-woop, woop de woop Woop de woop, woop de woop-woop (California Dungeons)   Lets hit the county buildin, gotta cash my check Spend it all on a 40-ounce to the neck and In retrospect I remember December being the hottest Squad cars, neighborhood wars and stolen Mazdas I tell you mothafuckas that life is full of hydraulics Up and down, get a 64, better know how to drive it Im drivin on E with no license or registration Heart racin, racin past Johnny because hes racist 1987, the children of Ronald Reagan raked the leaves off Your front porch with a machine blowtorch (Im really out here, my nigga) He blowin on stress, hopin to ease the stress (Like, really out here) He copping some blow, hopin that it can stretch Newborn massacre, hopping out the passenger With calendars, cause your dates comin Run him down and then he gun him down, Im hopin that you fast enough Even the legs of Michael Johnson dont mean nothin, because     Cant detour when youre at war with your city, why run for? Just ride with me, just die with me, that gun store, right there When you fight, dont fight fair cause youll never win, yeah   Right, I had the yapper, and I tore they ass up We really out here, my nigga, you niggas dont understand, my nigga Im off of pill and Remy Red, my nigga, trippin, my nigga"
Section.80,poe-mans-dreams-his-vice,"   Smoke good, eat good, live good Smoke good, eat good, live good Smoke good, eat good, live good Smoke good, eat good, live good   I used to want to see the Penitentiary Way after elementary Thought it was cool To look the judge in the face when he sentenced me Since my uncles was institutionalized My intuition had said I was suited for family ties My momma is stressin My daddy tired I need me a weapon These niggas ride Every minute, hour, and second Ministers tried to save me How Im gonna listen When I dont even hear God Heaven or Hell Base it all on my instincts My hands dirty You worried bout mud in your sink You like to mistake a street nigga For real nigga The same nigga that killed with ya Will squeal with ya I deal with ya like my son Stare at the sun And youll be looking in my eyes, homie Stand for something or fall for anything And you working with two left feet at the skating rink But anyway, this for my niggas Uncles, 23 hours sending me pictures I want you to know That Im so determined to blow That you hear the music I wrote Hope it get you off Death Row You came home To a pocket full of stones A Metro PC phone Then you went back in So when I touch the pen The Pen is in my view Imma get it right, just so you   Smoke good, eat good, live good Smoke good, eat good, live good Smoke good, eat good, live good Smoke good, eat good, live good Smoke good, eat good, live good   And I do this for the city Got some Hennessy and my real niggas with me Fuck the police, they gon have to come and get me If it feel good to you, holler if you hear me   You like to mistake a street nigga For real nigga That same nigga that kill with ya Will squeal with ya I like to start it out from the bottom And build with ya Be on my last dollar And split the bill with ya Im 23 with morals And plans of living cordial Not rich, but wealthy Theres nothing you can tell me My killings are not remorseful The city got my back And for that I give them my torso You think about it And dont call me lyrical Cause really Im just a nigga Thats evil and spiritual I know some rappers using big words To make their similes curve My simplest shit be more pivotal I penetrate the hearts Of good kids and criminals Worrisome individuals That live life critical So wont you bear witness While I bare feet So you can walk in my shoes And get to know me But anyway, this for my pops On his lunch break Eating in that parking lot On ""Wanna Be Heard"" Probably thought he worked my nerves But really he was stressing me getting what I deserved Somebody said my name on the radio He aint know I was ready for The world that minute So the next time he roll up and drop grams in it Hell probably be Out of work, laid back, while he   Smoke good, eat good, live good Smoke good, eat good, live good Smoke good, eat good, live good Smoke good, eat good, live good Smoke good, eat good, live good   And I do this for the city Got some Hennessy and my real niggas with me Fuck the police, they gon have to come and get me If it feel good to you, holler if you hear me   Church is definitely on the move And now we took it up to the cathedral Cause the ""-ism"" is enormous You know what Im talking bout? We out here rotating under the five Ps Proper preparation prevents poor performance Know what Im talking bout? Doing my thing Cause Im rotating when my speakers thumping From the Windy City streets All the way out here to the streets of Compton Know what Im talking bout? Church is definitely on the move And we gonna continue to hustle and grow And develop by fire As I rotate with my true player partner By the name of Kendrick Lamar You know what Im talking bout? This is the ism, this is the vision You know what Im talking bout? You gotta get up off your ass and get it, man Thats the only way your pockets gonna expand I tell you everyday, you know what Im talking bout? Apply yourself to supply your wealth Only limitations youll ever have Are those that you place upon yourself Church is definitely on the move You know what Im talking bout? Exercise your ism And dont depend on no one else Cathedral, chuch, ""-ism"""
Section.80,the-spiteful-chant,"   I know a lot of people that smile in my face But talk behind my back every time Im gone So when they call my number, I dont never pick up I dont owe you shit, bitch, leave me alone Im going big, suck my dick Im going big, suck my dick Im going big, suck my dick Im going big, suck my dick   Too many niggas, not enough hoes And some of you niggas, acting like hoes Stay to myself like loners do Get high by myself, Im not in the mood To politic or be fake with you We apologize if you ever knew Too many niggas, and not enough hoes And most of you niggas, acting like hoes   Everything I do is too alumni Imma take my time, Imma master it You should be mindful of a mastermind Put a landmine right where your momma live Now blow up, blow up, hold up, Ive seen your kind before See me as a dollar sign til I resign or you report That I done you wrong, and I mean to know, my homie never Nigga right now, its now or never, nigga right now, Im high as ever But however...   I know a lot of people that smile in my face But talk behind my back every time Im gone So when they call my number, I dont never pick up I dont owe you shit, bitch, leave me alone Im going big, suck my dick Im going big, suck my dick Im going big, suck my dick Im going big, suck my dick  Too many niggas, not enough hoes And some of you niggas, acting like hoes Stay to myself like loners do Get high by myself, Im not in the mood To politic or be fake with you We apologize if you ever knew Too many niggas, and not enough hoes And most of you niggas, acting like hoes   Everybody heard that I fuck with Dre And they wanna tell me, I made it Nigga I aint made shit, if he gave me a handout Imma take his wrist and break it Nigga, Im faded off of that Nuvo, chilling with two hoes in here And they tie my laces, living the Matrix as them pills disappear Me and my niggas just acting bad HiiiPower conglomerate Living that life and counting this cash old friends I no longer have   I know a lot of people that smile in my face But talk behind my back every time Im gone So when they call my number, I dont never pick up I dont owe you shit, bitch, leave me alone Im going big, suck my dick Im going big, suck my dick  Too many niggas, not enough hoes And some of you niggas, acting like hoes   I remember when I came out and shit Man, its been so long since they see my dick Probably been five months since I seen my seed Goddammit, K. Dot, when it come to this? When I was sleeping on couches Nigga couldnt get a call, just a Glock for my vouch Nigga I was mothafuckin out, yeah With the flashing lights had me stuck like reindeer When I should have been making bank, yeah I was somewhere stuck where the flame is Mothafucka, see how far that I came here Went broke and I came up in the same year (Can I get a hell yeah?) Drop my tear, hold my joy (Show my pride) (Music saved my fucking life, Im doing right and you left behind) (Feel my pain, now Im styling, Hermès shit, I spent a thousand) (Different homes, different islands) Dropped my mixtape and it sold like an album   Reason why Im be going big, bitch, suck my dick Yeah, Im going big, bitch, suck my dick Tell em Im going big, bitch, suck my dick Yeah, Im going big, bitch, suck my dick(Yeah!)   Too many niggas, not enough hoes And some of you niggas, acting like hoes Stay to myself like loners do Get high by myself, Im not in the mood To politic or be fake with you We apologize if you ever knew Too many niggas, and not enough hoes And most of you niggas, acting like hoes"
Section.80,chapter-ten," In time youll learn this is about you In time youll learn this is about you In time youll learn this is about you   Babies from 80s dont know—know no better Dont nothing go better with ignorance But the belligerent kids that we living with Some of them masculine, some of them feminine member the universe used to be innocent Now they just look at us crazy like immigrants Everyday that I wake up, Imma sin again Im not a citizen, Im just a nigga from Section.80   Show of hands, how many been taking notes? Good. Leave everything on the table now. Vulnerability, this is your generation. Show, show your pain"
